City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
233,Sibolga,ID,1.7427,98.7792,77.07,81,100,2.98,overcast clouds
234,Mitsamiouli,KM,-11.3847,43.2844,80.96,73,9,8.99,clear sky
235,Bathsheba,BB,13.2167,-59.5167,88.41,62,40,21.85,scattered clouds
236,Tuktoyaktuk,CA,69.4541,-133.0374,11.66,93,100,9.75,overcast clouds
237,Humaita,BR,-7.5061,-63.0208,88.2,52,83,4.38,broken clouds
238,Santiago Del Estero,AR,-27.7951,-64.2615,70.88,70,99,7.7,overcast clouds
239,Portland,US,45.5234,-122.6762,63.28,90,75,4.0,broken clouds
240,Kulu,TR,39.0951,33.0799,49.55,41,78,3.0,broken clouds
241,Fortuna,US,40.5982,-124.1573,52.41,95,90,8.05,overcast clouds
242,Chanute,US,37.6792,-95.4572,50.5,52,99,13.22,overcast clouds
243,La Ronge,CA,55.1001,-105.2842,28.62,93,90,4.61,light snow
244,Whitehorse,CA,60.7161,-135.0538,20.17,93,90,5.75,light snow
245,Lubsko,PL,51.7847,14.972,45.57,97,7,5.68,clear sky
246,Beausejour,CA,50.0622,-96.5167,21.78,95,90,1.05,overcast clouds
247,Fort Walton Beach,US,30.4058,-86.6188,57.52,51,1,5.01,clear sky
248,Vityazevo,RU,44.9931,37.2719,48.61,66,20,11.18,few clouds
249,Atambua,ID,-9.1061,124.8925,75.18,87,100,3.2,overcast clouds
250,Madison,US,34.7334,-86.5667,51.15,62,1,3.0,clear sky
251,Labuhan,ID,-6.8844,112.2051,78.19,86,100,9.01,overcast clouds
252,Changuinola,PA,9.4333,-82.5167,84.15,61,6,6.13,clear sky
253,Qingdao,CN,36.0986,120.3719,54.59,49,0,3.69,clear sky
254,Gaoua,BF,10.2992,-3.2508,92.98,26,69,1.92,broken clouds
255,Rawson,AR,-43.3002,-65.1023,66.29,29,91,24.92,overcast clouds
256,Oktyabrskoye,RU,43.0645,44.7417,41.14,86,90,2.24,overcast clouds
257,Sechura,PE,-5.5569,-80.8222,73.9,58,26,6.58,scattered clouds
258,Schonebeck,DE,52.0167,11.75,47.61,87,49,6.15,scattered clouds
259,Grand-Lahou,CI,5.1367,-5.0242,83.07,75,27,8.46,scattered clouds
260,Fare,PF,-16.7,-151.0167,75.16,81,100,7.96,light rain
261,Koutiala,ML,12.3917,-5.4642,97.14,11,32,7.18,scattered clouds
262,Kapit,MY,2.0167,112.9333,73.81,99,100,1.21,light rain
263,Cherskiy,RU,68.75,161.3,6.58,97,97,1.34,overcast clouds
264,Teguise,ES,29.0605,-13.564,71.82,46,20,12.66,few clouds
265,Muli,MV,2.9167,73.5667,83.14,76,47,15.93,scattered clouds
266,Khani,GE,41.9563,42.9566,49.57,47,43,5.19,scattered clouds
267,Tutoia,BR,-2.7619,-42.2744,85.69,64,67,13.78,broken clouds
268,Ribeira Grande,PT,38.5167,-28.7,61.2,82,75,24.16,mist
269,Kulhudhuffushi,MV,6.6221,73.07,81.05,81,100,20.49,overcast clouds
270,Tura,IN,25.5198,90.2201,61.41,84,1,2.77,clear sky
271,Impfondo,CG,1.6381,18.0667,78.46,77,83,0.4,light rain
272,Burns Lake,CA,54.2331,-125.7533,29.39,98,100,3.27,light snow
273,Roald,NO,62.5833,6.1333,50.92,66,0,9.22,clear sky
274,Alugan,PH,12.2188,125.4808,79.75,86,100,7.45,overcast clouds
275,Nakapiripirit,UG,1.9167,34.7833,78.04,40,88,13.24,overcast clouds
276,Coquimbo,CL,-29.9533,-71.3436,64.13,63,0,13.8,clear sky
277,Port Hedland,AU,-20.3167,118.5667,71.65,60,0,8.05,clear sky
278,Kumano,JP,34.3442,132.5894,50.94,75,1,3.31,clear sky
279,Asyut,EG,27.181,31.1837,76.5,43,4,8.19,clear sky
280,Zyryanka,RU,65.75,150.85,0.91,96,100,7.92,overcast clouds
281,Tezu,IN,27.9167,96.1667,63.05,49,0,4.07,clear sky
282,Olafsvik,IS,64.8945,-23.7142,38.66,66,64,36.78,broken clouds
283,Turukhansk,RU,65.8167,87.9833,-5.28,99,100,5.21,overcast clouds
284,Nome,US,64.5011,-165.4064,24.87,86,90,0.0,overcast clouds
285,Airai,TL,-8.9266,125.4092,61.27,91,99,0.78,overcast clouds
286,Am Timan,TD,11.0297,20.2827,89.69,19,10,4.97,clear sky
287,Georgetown,MY,5.4112,100.3354,80.53,88,20,2.3,few clouds
288,Bayangol,RU,50.6977,103.4656,20.32,71,9,2.13,clear sky
289,Wairoa,NZ,-39.0333,177.3667,66.6,63,10,1.99,clear sky
290,Scarborough,GB,54.2797,-0.4044,54.52,89,41,1.01,scattered clouds
291,Bethel,US,41.3712,-73.414,49.17,65,1,1.01,clear sky
292,Petropavlovskaya,RU,45.0819,40.4512,44.91,68,92,11.21,overcast clouds
293,Shimoda,JP,34.6667,138.95,54.1,67,65,7.16,broken clouds
294,Tete,MZ,-16.1564,33.5867,91.62,39,71,6.08,light rain
295,Skibbereen,IE,51.55,-9.2667,57.0,96,100,6.15,overcast clouds
296,Longyearbyen,SJ,78.2186,15.6401,15.64,62,75,8.05,broken clouds
297,Marzuq,YE,14.4,46.4667,72.05,37,0,2.42,clear sky
298,Heiligenhafen,DE,54.3667,10.9833,47.05,84,13,18.03,few clouds
299,San Carlos De Bariloche,AR,-41.1456,-71.3082,47.68,69,54,15.14,broken clouds
300,Meulaboh,ID,4.1363,96.1285,77.25,87,90,2.71,overcast clouds
301,Tiznit,MA,29.5833,-9.5,65.79,53,0,10.74,clear sky
302,Codrington,AU,-38.2667,141.9667,47.95,74,82,25.28,broken clouds
303,Cedar City,US,37.6775,-113.0619,48.4,65,1,3.44,clear sky
304,Pangody,RU,65.85,74.4859,-9.44,100,68,5.12,broken clouds
305,Rabo De Peixe,PT,37.8,-25.5833,62.28,98,20,13.8,few clouds
306,Chuy,UY,-33.6971,-53.4616,77.23,59,100,8.37,light rain
307,Alice Springs,AU,-23.7,133.8833,58.55,72,2,8.05,clear sky
308,Sao Filipe,CV,14.8961,-24.4956,76.08,72,85,7.02,overcast clouds
309,Tazmalt,DZ,36.3868,4.3989,58.48,83,92,1.3,overcast clouds
310,Buenavista,PH,8.9769,125.4089,75.06,93,100,2.28,overcast clouds
311,Bijar,IR,35.8668,47.6051,42.93,44,53,2.08,broken clouds
312,Margate,GB,51.3813,1.3862,55.11,88,18,1.99,few clouds
313,Egvekinot,RU,66.3167,-179.1667,9.21,91,99,7.52,overcast clouds
314,Ichihara,JP,35.5167,140.0833,57.04,58,99,5.99,overcast clouds
315,Nadvoitsy,RU,63.8667,34.3167,27.25,94,63,11.9,light snow
316,Katsuura,JP,35.1333,140.3,55.51,61,97,6.15,overcast clouds
317,Poshekhonye,RU,58.4993,39.1353,33.48,90,100,10.51,overcast clouds
318,Ust-Uda,RU,54.1742,103.0304,19.63,99,77,2.59,broken clouds
319,Imbituba,BR,-28.24,-48.6703,78.82,55,27,17.76,scattered clouds
320,Daru,PG,-9.0763,143.2092,79.56,87,93,10.2,overcast clouds
321,Panguna,PG,-6.3164,155.4848,67.86,95,53,2.13,broken clouds
322,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,57,70,8.72,broken clouds
323,Kutahya,TR,39.4242,29.9833,42.75,34,100,3.11,overcast clouds
324,Leningradskiy,RU,69.3833,178.4167,8.01,95,100,9.93,overcast clouds
325,Tautira,PF,-17.7333,-149.15,75.22,66,100,5.84,overcast clouds
326,Pontianak,ID,-0.0333,109.3333,75.18,94,75,6.91,light rain
327,Cairo,EG,30.0626,31.2497,79.56,47,54,4.61,broken clouds
328,Hay River,CA,60.8156,-115.7999,13.3,92,92,7.81,overcast clouds
329,Plover,US,44.4564,-89.544,33.04,67,90,8.99,overcast clouds
330,Kahului,US,20.8947,-156.47,73.42,86,90,4.61,light rain
331,Kayiry,UA,46.9454,33.7059,45.72,61,100,9.73,overcast clouds
332,Mtimbira,TZ,-8.7833,36.35,87.13,31,21,3.83,few clouds
333,Port-Gentil,GA,-0.7193,8.7815,76.55,82,100,2.21,overcast clouds
334,Lagoa,PT,39.05,-27.9833,63.36,79,100,33.96,overcast clouds
335,Anadyr,RU,64.75,177.4833,23.11,91,98,7.52,overcast clouds
336,Oussouye,SN,12.485,-16.5469,90.88,38,92,6.67,overcast clouds
337,Strelka,RU,58.0728,93.0344,28.71,92,100,6.87,overcast clouds
338,Yanam,IN,16.7333,82.2167,81.0,88,87,7.9,overcast clouds
339,Zaysan,KZ,47.4667,84.8667,36.25,77,99,2.1,overcast clouds
340,Salym,RU,60.0625,71.4789,10.56,75,100,7.11,overcast clouds
341,Malpe,IN,13.35,74.7167,76.3,96,100,7.87,moderate rain
342,Seymchan,RU,62.8833,152.4333,7.88,95,100,5.82,overcast clouds
343,Mae Sot,TH,16.7167,98.5667,71.28,95,83,2.33,broken clouds
344,Mahebourg,MU,-20.4081,57.7,77.25,67,79,14.16,broken clouds
345,Lusambo,CD,-4.9667,23.45,76.8,75,99,2.73,overcast clouds
346,Shingu,JP,33.7333,135.9833,50.43,80,28,6.53,scattered clouds
347,Saint George,US,37.1041,-113.5841,67.35,27,40,2.01,scattered clouds
348,Porto Novo,BJ,6.4965,2.6036,85.37,68,23,8.99,few clouds
349,Coos Bay,US,43.3665,-124.2179,58.23,100,90,5.75,mist
350,Arinos,BR,-15.9169,-46.1056,68.36,85,100,5.97,overcast clouds
351,Yagodnoye,RU,62.55,149.6667,9.84,96,100,2.39,light snow
352,San Patricio,US,28.017,-97.5169,78.89,53,0,9.46,clear sky
353,Lake Worth,US,26.6159,-80.057,75.99,52,1,1.99,clear sky
354,Salalah,OM,17.0151,54.0924,80.69,74,0,2.3,clear sky
355,Fairbanks,US,64.8378,-147.7164,-5.4,73,90,0.0,light snow
356,Ayorou,NE,14.7308,0.9174,98.6,9,85,7.47,overcast clouds
357,Verkhnevilyuysk,RU,63.4453,120.3167,-7.83,98,66,2.51,broken clouds
358,Playas,EC,-2.6333,-80.3833,73.42,73,77,9.37,broken clouds
359,Mandalgovi,MN,45.7625,106.2708,25.38,44,11,6.29,few clouds
360,San-Pedro,CI,4.7485,-6.6363,82.58,75,93,7.23,light rain
361,Mayo,US,38.8876,-76.5119,47.98,58,1,3.0,clear sky
362,Sulangan,PH,11.1373,123.7228,82.6,81,89,12.88,overcast clouds
363,Hammond,US,41.5834,-87.5,37.53,88,90,4.0,overcast clouds
364,Kudahuvadhoo,MV,2.6708,72.8944,83.17,74,50,16.06,scattered clouds
365,Rongcheng,CN,30.634,117.8517,52.3,58,32,3.58,scattered clouds
366,Durusu,TR,41.3053,28.6767,55.83,88,100,7.0,overcast clouds
367,Hofn,IS,64.2539,-15.2082,42.82,75,20,24.16,few clouds
368,The Valley,AI,18.217,-63.0578,87.1,73,7,17.58,clear sky
369,Aasiaat,GL,68.7098,-52.8699,-5.6,100,99,5.57,overcast clouds
370,Saint-Georges,GD,12.0564,-61.7485,87.48,70,20,20.71,few clouds
371,Inhambane,MZ,-23.865,35.3833,76.75,81,34,9.31,scattered clouds
372,Nara,JP,34.6851,135.8049,53.98,78,2,1.14,clear sky
373,Ariquemes,BR,-9.9133,-63.0408,85.1,66,83,5.37,broken clouds
374,General Roca,AR,-39.0333,-67.5833,69.62,18,79,17.29,broken clouds
375,Opuwo,NA,-18.0607,13.84,88.63,26,81,8.5,broken clouds
376,Makambako,TZ,-8.8453,34.823,69.76,48,30,11.52,scattered clouds
377,Bantry,IE,51.6833,-9.45,60.75,98,100,4.79,overcast clouds
378,Vestmannaeyjar,IS,63.4427,-20.2734,40.19,81,40,27.63,scattered clouds
379,Moshny,UA,49.5147,31.7476,41.4,60,99,3.11,overcast clouds
380,Sitka,US,57.0531,-135.33,35.49,80,1,0.0,clear sky
381,Wewak,PG,-3.5534,143.6268,78.35,86,79,2.04,broken clouds
382,Raudeberg,NO,61.9875,5.1352,49.78,69,100,22.1,overcast clouds
383,Kloulklubed,PW,7.0419,134.2556,77.5,77,100,0.45,overcast clouds
384,Bonavista,CA,48.6499,-53.1147,48.24,99,100,3.6,overcast clouds
385,Hami,CN,42.8,93.45,32.41,44,0,2.35,clear sky
386,Puerto Quijarro,BO,-17.7833,-57.7667,85.59,71,99,5.95,overcast clouds
387,Praia,CV,14.9215,-23.5087,82.94,54,20,12.66,few clouds
388,Maarianhamina,AX,60.0973,19.9348,39.06,93,90,1.14,overcast clouds
389,Tyukhtet,RU,56.5389,89.3011,30.06,95,100,8.08,light snow
390,Mondovi,IT,44.396,7.8176,54.36,98,100,5.7,light rain
391,Boa Vista,BR,2.8197,-60.6733,89.58,51,75,12.66,broken clouds
392,Takaka,NZ,-40.85,172.8,56.97,88,6,7.23,clear sky
393,Alta Floresta,BR,-9.8756,-56.0861,79.25,83,98,5.64,moderate rain
394,Angoram,PG,-4.0625,144.0661,73.94,99,100,0.36,overcast clouds
395,Hope,US,33.6671,-93.5916,53.94,47,15,6.85,few clouds
396,Sinnamary,GF,5.3833,-52.95,84.6,66,50,8.28,scattered clouds
397,Maryville,US,35.7565,-83.9705,50.18,61,27,1.01,scattered clouds
398,Ngaoundere,CM,7.3167,13.5833,78.91,40,21,7.25,few clouds
399,Bangassou,CF,4.7413,22.8184,77.49,81,46,4.97,light rain
400,Terney,RU,45.0503,136.6092,31.68,78,9,9.37,clear sky
401,Walvis Bay,NA,-22.9575,14.5053,60.1,73,87,11.27,overcast clouds
402,Kavieng,PG,-2.5744,150.7967,82.38,72,99,10.98,overcast clouds
403,Houma,US,29.5958,-90.7195,61.0,60,1,0.0,clear sky
404,Zarechnyy,RU,53.2036,45.1923,34.32,35,100,2.68,overcast clouds
405,Biak,ID,-0.9131,122.8766,76.17,83,100,4.27,overcast clouds
406,Camacari,BR,-12.6975,-38.3242,74.97,82,85,10.0,overcast clouds
407,Yei,SS,4.095,30.6779,72.39,82,84,3.74,broken clouds
408,Muros,ES,42.7762,-9.0603,67.08,61,6,8.03,clear sky
409,Zhezkazgan,KZ,47.8043,67.7144,27.86,81,61,17.58,broken clouds
410,Navlya,RU,52.8281,34.4989,35.74,94,100,1.05,overcast clouds
411,Caronport,CA,50.4501,-105.8179,30.69,65,100,5.17,overcast clouds
412,Dudinka,RU,69.4058,86.1778,-6.56,99,98,6.38,overcast clouds
413,Ontario,US,34.0633,-117.6509,80.53,29,1,0.0,clear sky
414,Hargeysa,SO,9.56,44.065,68.13,67,46,14.47,scattered clouds
415,Sayyan,YE,15.1718,44.3244,58.57,28,4,5.21,clear sky
416,Kirkwood,US,38.5834,-90.4068,48.78,71,40,4.0,scattered clouds
417,Qaqortoq,GL,60.7167,-46.0333,14.5,66,0,3.47,clear sky
418,Mutoko,ZW,-17.397,32.2268,71.11,64,74,14.43,moderate rain
419,Grand Gaube,MU,-20.0064,57.6608,77.38,69,83,8.99,broken clouds
420,Montrose,US,38.4166,-108.2673,40.44,33,41,0.81,scattered clouds
421,Jelgava,LV,56.65,23.7128,33.84,91,0,5.39,clear sky
422,Nhulunbuy,AU,-12.2333,136.7667,79.41,53,74,9.22,broken clouds
423,Lazaro Cardenas,MX,17.9583,-102.2,81.52,55,4,4.85,clear sky
424,Okahandja,NA,-21.9833,16.9167,92.28,18,89,7.43,overcast clouds
425,Diego De Almagro,CL,-26.3667,-70.05,80.4,17,0,9.8,clear sky
426,Valley City,US,46.9233,-98.0032,27.59,93,76,2.21,broken clouds
427,Mandera,KE,3.9366,41.867,88.11,39,100,14.76,overcast clouds
428,Komsomolskiy,UZ,40.4272,71.7189,47.12,61,100,2.3,haze
429,Saldanha,ZA,-33.0117,17.9442,66.18,75,100,17.96,overcast clouds
430,Itoman,JP,26.1247,127.6694,68.02,68,20,9.22,few clouds
431,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,85.28,63,7,11.34,clear sky
432,Maua,BR,-23.6678,-46.4614,82.08,47,28,8.28,scattered clouds
433,Doha,QA,25.2867,51.5333,76.98,50,0,10.36,clear sky
434,Castro,BR,-24.7911,-50.0119,74.37,43,18,1.41,few clouds
435,Mildura,AU,-34.2,142.15,51.76,71,90,8.05,overcast clouds
436,Itarema,BR,-2.9248,-39.9167,88.11,57,44,16.44,scattered clouds
437,Banda Aceh,ID,5.5577,95.3222,79.63,80,83,11.83,broken clouds
438,Harlingen,US,26.1906,-97.6961,78.75,45,1,12.66,clear sky
439,Yuli,NG,9.6989,10.2744,94.32,17,92,4.34,overcast clouds
440,Narsaq,GL,60.9167,-46.05,14.22,77,3,2.95,clear sky
441,Altay,CN,47.8667,88.1167,31.95,78,100,4.7,overcast clouds
442,Pipar,IN,26.3856,73.5378,70.0,22,0,3.38,clear sky
443,Superior,US,46.7208,-92.1041,31.82,76,90,8.05,overcast clouds
444,Along,IN,28.1667,94.7667,57.49,78,0,2.06,clear sky
445,Padang,ID,-0.9492,100.3543,77.05,85,53,3.02,broken clouds
446,Nanortalik,GL,60.1432,-45.2371,19.94,59,0,29.24,clear sky
447,Gympie,AU,-26.1898,152.665,60.31,69,0,2.66,clear sky
448,Gikongoro,RW,-2.464,29.5739,59.02,91,94,2.06,light rain
449,Hailar,CN,49.2,119.7,20.93,67,19,7.43,few clouds
450,Miramar,US,25.9873,-80.2323,79.02,56,1,6.91,clear sky
451,Karratha,AU,-20.7377,116.8463,78.12,38,5,9.53,clear sky
452,Beloha,MG,-25.1667,45.05,73.9,82,65,9.46,broken clouds
453,Yumen,CN,40.2833,97.2,30.7,32,0,1.52,clear sky
454,Lieksa,FI,63.3167,30.0167,31.71,68,3,17.87,clear sky
455,San Rafael,AR,-34.6177,-68.3301,70.92,23,0,14.72,clear sky
456,Yulara,AU,-25.2406,130.9889,64.24,36,0,8.05,clear sky
457,Stromness,GB,58.965,-3.296,53.85,88,100,10.0,light rain
458,Capoterra,IT,39.1763,8.9718,60.53,81,20,11.5,few clouds
459,Jizan,SA,17.3333,42.6667,84.33,61,0,4.52,clear sky
460,Verkhneuralsk,RU,53.8769,59.2106,17.8,76,100,12.3,overcast clouds
461,Havoysund,NO,70.9963,24.6622,30.43,56,100,6.49,overcast clouds
462,Ballina,AU,-28.8667,153.5667,53.78,54,0,8.7,clear sky
463,Antalaha,MG,-14.9003,50.2788,75.2,78,0,4.79,clear sky
464,Koygorodok,RU,60.445,50.9968,18.95,93,100,5.41,overcast clouds
465,Henties Bay,NA,-22.116,14.2845,59.86,73,77,6.67,broken clouds
466,Goderich,CA,43.7501,-81.7165,40.91,91,100,18.81,overcast clouds
467,Togur,RU,58.3631,82.8265,23.99,97,100,5.86,overcast clouds
